2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.1160173996,0.1794894332,0.3230718043,0.5444757571,0.6862622562,1.0999599189,1.7753443677,2.1895108762,2.8174859255,3.3750047984,4.5389498254,5.9583132912
1.6935642985,2.3992779698,4.0092639322,5.2440541946,6.7240795961,7.9526236599,9.7291509779,12.6906156132,15.8839684653,19.129159768,23.2998753868,27.1454309674
30.9572693385,37.1255932068,45.6768390315,50.4029043606,55.6072140565,59.2864973823,61.9246649743,67.3471876331,69.3993691462,70.2371160219,73.0783892166,75.8196619206
